id,identifier,trip_date,vehicle_id,driver_id
1393218,Varthur,04/05/23,1000176,1000301
1393259,Hebbal,04/05/23,1000108,1000296
1393195,Arekere,04/04/23,1000233,1000263
1393196,Begur,04/04/23,1000233,1000263
1393197,Begur,04/03/23,1000233,1000263
1393198,Hebbal,04/04/23,1000108,1000296
1393199,Hebbal,04/03/23,1000108,1000296
1393200,HSR Layout,04/04/23,1000233,1000263
1393201,Jayadeva,04/03/23,1000108,1000296
1393202,Kammanahalli,04/04/23,1000087,1000186
1393203,Kengeri,04/04/23,1000108,1000296
1393204,Kudulu,04/04/23,1000108,1000296
1393205,Nagharbavi,04/04/23,1000108,1000296
1393206,Varthur,04/04/23,1000176,1000301
1393258,Kaggadasapura,04/04/23,1000108,1000296
1393522,MG Road To Office,04/04/23,1000225,1000372
1393183,Arekere,04/03/23,1000233,1000263
1393184,Begur,04/03/23,1000233,1000263
1393185,Begur,04/02/23,1000233,1000263
1393186,Hebbal,04/03/23,1000108,1000296
1393187,Hebbal,04/02/23,1000108,1000296
1393188,HSR Layout,04/03/23,1000233,1000263
1393189,Jayadeva,04/02/23,1000233,1000263
1393190,Kammanahalli,04/03/23,1000087,1000186
1393191,Kengeri,04/03/23,1000108,1000296
1393192,Kudulu,04/03/23,1000108,1000296
1393193,Nagharbavi,04/03/23,1000108,1000296
1393194,Varthur,04/03/23,1000176,1000301
1393255,Kaggadasapura,04/03/23,1000108,1000296
1393256,Hebbal,04/03/23,1000108,1000296
1393257,Hebbal,04/03/23,1000108,1000296
1393120,Arekere,04/01/23,1000233,1000263
1393121,Begur,04/01/23,1000233,1000263
1393122,Begur,03/31/23,1000233,1000263
1393123,BG Road To Conrade,04/01/23,1000108,1000296
1393124,Conrade To BG Road,04/01/23,1000108,1000296
1393125,GB Palya,04/01/23,1000233,1000263
1393126,GB Palya,03/31/23,1000233,1000263
1393127,Hebbal,04/01/23,1000108,1000296
1393128,Hebbal,04/01/23,1000108,1000296
